,aX,aY,aZ,gX,gY,gZ
376,-6.689,-1.853,1.417,0.325,0.29,-0.149
377,-6.986,-1.719,1.499,0.386,0.421,-0.213
378,-7.302,-1.59,1.556,0.432,0.525,-0.269
379,-7.743,-1.437,1.604,0.467,0.62,-0.331
380,-8.073,-1.307,1.652,0.472,0.658,-0.366
381,-8.399,-1.183,1.69,0.461,0.667,-0.391
382,-8.801,-1.015,1.753,0.426,0.638,-0.406
383,-9.079,-0.91,1.805,0.387,0.586,-0.404
384,-9.395,-0.781,1.867,0.322,0.482,-0.383
385,-9.586,-0.699,1.911,0.267,0.382,-0.354
386,-9.735,-0.642,1.958,0.21,0.268,-0.317
387,-9.869,-0.627,2.021,0.129,0.1,-0.261
388,-9.898,-0.642,2.069,0.065,-0.031,-0.215
389,-9.893,-0.685,2.107,0.001,-0.162,-0.169
390,-9.816,-0.771,2.145,-0.085,-0.331,-0.113
391,-9.72,-0.862,2.174,-0.15,-0.447,-0.076
392,-9.601,-0.962,2.193,-0.213,-0.55,-0.047
393,-9.404,-1.101,2.236,-0.294,-0.666,-0.019
394,-9.242,-1.216,2.274,-0.351,-0.733,-0.008
395,-9.012,-1.365,2.313,-0.421,-0.796,-0.006
396,-8.835,-1.46,2.346,-0.465,-0.823,-0.014
397,-8.657,-1.537,2.375,-0.503,-0.832,-0.026
398,-8.447,-1.647,2.394,-0.546,-0.817,-0.045
399,-8.289,-1.748,2.404,-0.577,-0.785,-0.062
400,-8.116,-1.858,2.385,-0.619,-0.719,-0.094
401,-7.767,-1.935,2.327,-0.762,-0.359,-0.203
402,-7.738,-1.92,2.318,-0.803,-0.231,-0.224
403,-7.743,-1.92,2.327,-0.831,-0.137,-0.235
404,-7.767,-1.939,2.351,-0.854,-0.048,-0.242
405,-7.834,-1.982,2.389,-0.876,0.055,-0.249
406,-7.896,-2.035,2.428,-0.887,0.12,-0.252
407,-7.973,-2.093,2.471,-0.894,0.171,-0.256
408,-8.088,-2.164,2.528,-0.897,0.22,-0.26
409,-8.174,-2.212,2.576,-0.895,0.243,-0.264
410,-8.279,-2.26,2.638,-0.889,0.255,-0.266
411,-8.351,-2.284,2.677,-0.885,0.252,-0.264
412,-8.408,-2.294,2.71,-0.879,0.24,-0.258
413,-8.466,-2.294,2.758,-0.87,0.214,-0.243
414,-8.49,-2.289,2.796,-0.863,0.19,-0.224
415,-8.509,-2.284,2.835,-0.854,0.163,-0.2
416,-8.504,-2.279,2.878,-0.839,0.129,-0.159
417,-8.49,-2.279,2.887,-0.826,0.105,-0.124
418,-8.452,-2.294,2.907,-0.804,0.082,-0.072
419,-8.413,-2.318,2.916,-0.784,0.071,-0.03
420,-8.375,-2.346,2.926,-0.76,0.068,0.012
421,-8.308,-2.385,2.94,-0.722,0.077,0.066
422,-8.27,-2.413,2.95,-0.689,0.095,0.105
423,-8.222,-2.447,2.945,-0.652,0.121,0.142
424,-8.174,-2.485,2.935,-0.597,0.17,0.186
425,-8.155,-2.509,2.931,-0.552,0.215,0.215
426,-8.131,-2.528,2.921,-0.504,0.267,0.241
427,-8.112,-2.547,2.887,-0.438,0.344,0.27
428,-8.116,-2.552,2.854,-0.386,0.406,0.286
429,-8.135,-2.552,2.816,-0.317,0.491,0.304
430,-8.155,-2.538,2.782,-0.267,0.554,0.314
431,-8.179,-2.519,2.739,-0.217,0.615,0.321
432,-8.231,-2.476,2.672,-0.153,0.69,0.327
433,-8.294,-2.437,2.61,-0.11,0.739,0.33
434,-8.361,-2.389,2.567,-0.069,0.781,0.332
435,-8.461,-2.313,2.485,-0.02,0.826,0.335
436,-8.547,-2.241,2.442,0.011,0.848,0.338
437,-8.629,-2.164,2.394,0.039,0.862,0.342
438,-8.744,-2.064,2.346,0.07,0.866,0.347
439,-8.839,-1.982,2.313,0.089,0.859,0.353
440,-8.93,-1.896,2.274,0.104,0.843,0.361
441,-9.031,-1.786,2.236,0.119,0.811,0.372
442,-9.098,-1.719,2.212,0.128,0.781,0.381
443,-9.155,-1.647,2.198,0.134,0.746,0.39
444,-9.208,-1.566,2.174,0.14,0.695,0.402
445,-9.242,-1.504,2.155,0.143,0.654,0.411
446,-9.261,-1.446,2.145,0.146,0.614,0.418
447,-9.251,-1.384,2.136,0.148,0.564,0.426
448,-9.246,-1.341,2.112,0.149,0.528,0.43
449,-9.222,-1.293,2.083,0.152,0.496,0.432
450,-9.175,-1.231,2.054,0.156,0.461,0.43
451,-9.131,-1.188,2.03,0.159,0.44,0.427
452,-9.079,-1.149,2.006,0.165,0.423,0.422
