,aX,aY,aZ,gX,gY,gZ
421,-8.298,-1.575,0.848,0.444,0.051,-0.462
422,-8.408,-1.595,0.828,0.441,0.06,-0.458
423,-8.547,-1.618,0.804,0.437,0.07,-0.451
424,-8.653,-1.623,0.79,0.433,0.074,-0.446
425,-8.753,-1.633,0.771,0.43,0.076,-0.44
426,-8.882,-1.642,0.752,0.424,0.074,-0.43
427,-8.978,-1.647,0.733,0.42,0.069,-0.421
428,-9.06,-1.652,0.728,0.418,0.06,-0.413
429,-9.151,-1.662,0.723,0.415,0.043,-0.402
430,-9.218,-1.671,0.704,0.414,0.025,-0.393
431,-9.27,-1.671,0.699,0.414,0.005,-0.386
432,-9.328,-1.662,0.704,0.416,-0.028,-0.376
433,-9.357,-1.657,0.694,0.417,-0.057,-0.368
434,-9.376,-1.642,0.685,0.422,-0.099,-0.359
435,-9.361,-1.638,0.68,0.427,-0.133,-0.354
436,-9.342,-1.633,0.675,0.432,-0.171,-0.349
437,-9.299,-1.628,0.656,0.439,-0.221,-0.345
438,-9.261,-1.618,0.651,0.445,-0.259,-0.343
439,-9.203,-1.609,0.646,0.451,-0.294,-0.343
440,-9.131,-1.609,0.618,0.456,-0.337,-0.345
441,-9.093,-1.609,0.603,0.459,-0.364,-0.347
442,-8.94,-1.628,0.488,0.459,-0.396,-0.373
443,-8.935,-1.628,0.46,0.455,-0.381,-0.381
444,-8.935,-1.642,0.431,0.449,-0.358,-0.387
445,-8.954,-1.652,0.388,0.441,-0.317,-0.396
446,-8.993,-1.657,0.364,0.433,-0.28,-0.4
447,-9.06,-1.662,0.316,0.422,-0.226,-0.405
448,-9.117,-1.662,0.297,0.416,-0.185,-0.406
449,-9.179,-1.666,0.273,0.41,-0.144,-0.406
450,-9.266,-1.671,0.235,0.403,-0.094,-0.402
451,-9.342,-1.671,0.22,0.399,-0.064,-0.397
452,-9.419,-1.666,0.206,0.398,-0.039,-0.391
453,-9.515,-1.652,0.196,0.397,-0.019,-0.379
454,-9.591,-1.647,0.182,0.398,-0.014,-0.369
455,-9.682,-1.642,0.182,0.401,-0.022,-0.354
456,-9.735,-1.642,0.182,0.406,-0.039,-0.343
457,-9.768,-1.638,0.153,0.41,-0.064,-0.331
458,-9.797,-1.633,0.129,0.419,-0.106,-0.315
459,-9.811,-1.623,0.124,0.426,-0.144,-0.305
460,-9.811,-1.618,0.115,0.433,-0.188,-0.295
461,-9.797,-1.609,0.12,0.442,-0.253,-0.283
462,-9.768,-1.599,0.124,0.449,-0.304,-0.275
463,-9.716,-1.585,0.096,0.459,-0.372,-0.267
464,-9.668,-1.58,0.096,0.465,-0.42,-0.263
465,-9.62,-1.571,0.115,0.472,-0.466,-0.259
466,-9.553,-1.566,0.12,0.481,-0.522,-0.259
467,-9.5,-1.571,0.124,0.487,-0.558,-0.26
468,-9.452,-1.575,0.134,0.491,-0.585,-0.262
469,-9.4,-1.58,0.124,0.497,-0.609,-0.267
470,-9.38,-1.59,0.12,0.5,-0.615,-0.272
471,-9.361,-1.609,0.124,0.501,-0.607,-0.281
472,-9.366,-1.628,0.12,0.498,-0.589,-0.288
473,-9.38,-1.638,0.105,0.495,-0.56,-0.295
